
Q.No.,Session,QT,Section,Key,Marks
1,2,MCQ,A,C,1
2,2,MCQ,A,D,1
3,2,MCQ,A,D,1
4,2,MCQ,A,C,1
5,2,MCQ,A,Marks To All,1
6,2,MCQ,A,C,1
7,2,MCQ,A,D,1
8,2,MCQ,A,D,1
9,2,MCQ,A,D,1
10,2,MCQ,A,B,1
11,2,MCQ,A,D,2
12,2,MCQ,A,A,2
13,2,MCQ,A,D,2
14,2,MCQ,A,A,2
15,2,MCQ,A,D,2
16,2,MCQ,A,A,2
17,2,MCQ,A,B,2
18,2,MCQ,A,B,2
19,2,MCQ,A,A,2
20,2,MCQ,A,B,2
21,2,MCQ,A,C,2
22,2,MCQ,A,A,2
23,2,MCQ,A,D,2
24,2,MCQ,A,B,2
25,2,MCQ,A,B,2
26,2,MCQ,A,C,2
27,2,MCQ,A,C,2
28,2,MCQ,A,A,2
29,2,MCQ,A,D,2
30,2,MCQ,A,C,2
31,2,MSQ,B,A;C;D,2
32,2,MSQ,B,A;D,2
33,2,MSQ,B,A;C;D,2
34,2,MSQ,B,B;D,2
35,2,MSQ,B,A;C,2
36,2,MSQ,B,A;D,2
37,2,MSQ,B,B;C,2
38,2,MSQ,B,A;D,2
39,2,MSQ,B,A;D,2
40,2,MSQ,B,C;D,2
41,2,NAT,C,1 to 1,1
42,2,NAT,C,32 to 32,1
43,2,NAT,C,0 to INF,1
44,2,NAT,C,0.08 to 0.09,1
45,2,NAT,C,2.70 to 2.72,1
46,2,NAT,C,0.1 to 0.1,1
47,2,NAT,C,0.25 to 0.25,1
48,2,NAT,C,7 to 7,1
49,2,NAT,C,1011 to 1011,1
50,2,NAT,C,3 to 3,1
51,2,NAT,C,0.25 to 0.25,2
52,2,NAT,C,33 to 33,2
53,2,NAT,C,2 to 2,2
54,2,NAT,C,0.5 to 0.5,2
55,2,NAT,C,0.65 to 0.67,2
56,2,NAT,C,8 to 8,2
57,2,NAT,C,3 to 3,2
58,2,NAT,C,-216 to -216,2
59,2,NAT,C,3 to 3,2
60,2,NAT,C,3 to 3,2
