
Qn. No.,Qn. Type,Key(s),Mark(s),,Qn. No.,Qn. Type,Key(s),Mark(s),,Qn. No.,,,Qn. Type,Key(s),Mark(s),,
1,Q MC,D,,,,1,Q,A;C,31,2,41 MS,,NAT,0.5:0.5,1,,
2,Q MC,B,,,,1,Q,A;D,32,2,42,MS,NAT,1.0:1.0,1,,
3,Q MC,A,,,,1,Q,B;D,33,2,43 MS,,NAT,2.0:2.0,1,,
4,Q MC,B,,,,1,Q,B;C;D,34,2,44,MS,NAT,8.0:8.0,1,,
5,Q MC,A,,,,1,Q,C;D,35,2,45 MS,,NAT,1.49:1.55,1,,
6,Q MC,B,,,,1,Q,A;B,36,2,46 MS,,NAT,‐1:‐1,1,,
7,Q MC,C,,,,1,Q,A;D,37,2,47,MS,NAT,6.0:6.0,1,,
8,Q MC,D,,,,1,Q,B;C,38,2,48 MS,,NAT,0.5:0.5,1,,
9,Q MC,C,,,,1,Q,A;C;D,39,2,49,MS,NAT,0.25:0.25,1,,
10,MCQ,C,,,,1,Q,B;D,40,2,50,MS,NAT,6.0:6.0,1,,
11,MCQ,B,2,,,,,,,,51,,NAT,1.0:1.0,2,,
12,MCQ,D,2,,,,,,,,52,,NAT,0.35:0.4,2,,
13,MCQ,B,2,,,,,,,,53,,NAT,3.0:3.0,2,,
14,MCQ,C,2,,,,,,,,54,,NAT,0.8:1.9,2,,
15,MCQ,D,2,,,,,,,,55,,NAT,72.0:72.0,2,,
16,MCQ,A,,,,2,,,,,,,,‐0.3:‐0.25,56,2,NAT
17,MCQ,B,2,,,,,,,,57,,NAT,2.0:2.0,2,,
18,MCQ,D,2,,,,,,,,58,,NAT,3.0:3.0,2,,
19,MCQ,A,2,,,,,,,,59,,NAT,1.0:1.0,2,,
20,MCQ,MTA,2,,,,,,,,60,,NAT,2.0:2.0,2,,
21,MCQ,B,,,,2,,,,,,,,,,,
22,MCQ,C,,,,2,,,,,,,,,,,
23,MCQ,C,,,,2,,,,,,,,,,,
24,MCQ,C,,,,2,,,,,,,,,,,
25,MCQ,A,,,,2,,,,,,,,,,,
26,MCQ,A,,,,2,,,,,,,,,,,
27,MCQ,C,,,,2,,,,,,,,,,,
28,MCQ,D,,,,2,,,,,,,,,,,
29,MCQ,B,,,,2,,,,,,,,,,,
30,MCQ,MTA,2,,,,,,,,,,,,,,
