No,type,marks,2015,2016,2017,2018,2019,2020
1,MCQ,1,C,D,D,B,D ,C
2,MCQ,1,C,B,A,D,D ,D
3,MCQ,1,B,A,B,D,B ,D
4,MCQ,1,B,B,C,A,A ,C
5,MCQ,1,A,A,B,B,B ,MTA
6,MCQ,1,B,B,D,C,A ,C
7,MCQ,1,A,C,B,C,C ,D
8,MCQ,1,C,D,A,B,B ,D
9,MCQ,1,B,C,A,C,A ,D
10,MCQ,1,A,C,D,B,C ,B
11,MCQ,2,B,B,B,A,D ,D
12,MCQ,2,D,D,A,C,C ,A
13,MCQ,2,D,B,C,D,B ,D
14,MCQ,2,A,C,D,B,B ,A
15,MCQ,2,A,D,C,A,A ,D
16,MCQ,2,C,A,A,D,C ,A
17,MCQ,2,D,B,A,C,D ,B
18,MCQ,2,C,D,D,A,A ,B
19,MCQ,2,D,A,D,C,B ,A
20,MCQ,2,D,MTA,C,B,C ,B
21,MCQ,2,B,B,D,C,D ,C
22,MCQ,2,B,C,B,A,A ,A
23,MCQ,2,A,C,B,C,C ,D
24,MCQ,2,B,C,D,B,B ,B
25,MCQ,2,A,A,C,A,C ,B
26,MCQ,2,C,A,A,C,B ,C
27,MCQ,2,D,C,C,C,D ,C
28,MCQ,2,A,D,C,D,C ,A
29,MCQ,2,D,B,C,B,B ,D
30,MCQ,2,D,MTA,B,C,A ,C
31,MSQ,2,"A,C,D","A,C","A,C",B,"A, C","A,C,D"
32,MSQ,2,"A,D","A,D","A,B,D","A,B,C","B, C","A,D"
33,MSQ,2,"C,D","B,D","A,D","A,D","C, D","A,C,D"
34,MSQ,2,"A,B","B,C,D","A,B,D","B,C,D","A, D","B,D"
35,MSQ,2,"A,C,D","C,D","A,C","B,C,D","B, D","A,C"
36,MSQ,2,"A,C","A,B","A,C","A,B",A,"A,D"
37,MSQ,2,"A,D","A,D","B,D","A,D","B, C, D","B,C"
38,MSQ,2,"B,C","B,C","B,C","A,B,C","B, C","A,D"
39,MSQ,2,"B,C,D","A,C,D","B,C,D","B,C,D","A, D","A,D"
40,MSQ,2,"A,B,C","B,D","C,D","A,B,C","A, B","C,D"
41,NAT,1,1.0,0.5,1.9,4,99 ,1
42,NAT,1,6.28,1.0,5.9,6.5,60 ,32
43,NAT,1,3.0,2.0,-0.01,1,7 ,0
44,NAT,1,-1.0,8.0,9.9,1,75.35 ,0.08
45,NAT,1,2.34,1.49,1259.9,3,1 ,2.70
46,NAT,1,1.64,‐1,1.9,9,0.25 ,0.1
47,NAT,1,1.0,6.0,0.49,2,8 ,0.25
48,NAT,1,-1.0,0.5,2.9,0,2.6 ,7
49,NAT,1,2.0,0.25,54.9,4,2.60 ,1011
50,NAT,1,3.0,6.0,7.9,-0.130,5.30 ,3
51,NAT,2,8.0,1.0,2.9,0.4,6.60 ,0.25
52,NAT,2,84.0,0.35,2.0,0.35,2.69 ,33
53,NAT,2,0.25,3.0,0.9,1140,31 ,2
54,NAT,2,2.0,0.8,29.9,5.99,5 ,0.5
55,NAT,2,0.125,72.0,0.9,2.9,4 ,0.65
56,NAT,2,1.41,‐0.3,2.9,0.23,3 ,8
57,NAT,2,0.1,2.0,0.9,6,17 ,3
58,NAT,2,5.09,3.0,5.9,6.3,3 ,-216
59,NAT,2,3.0,1.0,0.9,-2.80,4 ,3
60,NAT,2,2.0,2.0,1.34,0.5,1.12 ,3
