Restaurant,Cousines,Rating,Rating_counts,Delivery_rating,Delivery_rating_counts,Area,Adress,Price_for_2,1st_time_open,1st_time_close,2nd_time_open,2nd_time_close,week
Jassi De Parathe,North Indian,4.7,1634.0,4.2,18500.0,Alkapuri,"R.C Dutt Road, Near Kalaniketan, Alkapuri, Vadodara",600,2020-10-15 11:00:00,2020-10-15 23:30:00,,,Mon-Sun)
Marwari Food Corner,"North Indian, Rajasthani, Fast Food, Chinese",4.3,1505.0,3.8,29200.0,Karelibaug,"Shop No. 21 & 22 Ratri-bazaar, Mangal Pandey Rd, Karelibaugh, Karelibagh, Vadodara, Gujarat 390002",250,2020-10-15 16:00:00,2020-10-15 02:00:00,,,Mon-Sun)
KFC,"Burger, Fast Food, Finger Food, Beverages",4.2,1003.0,4.3,16800.0,Alkapuri,"19, Ground Floor, Vadodara Central Mall, Near Genda Circle, Wadi Road, Alkapuri, Vadodara",450,2020-10-15 13:00:00,2020-10-15 21:30:00,,,Mon-Sun)
Shree Kathiyawadi Khadki,"Gujarati, Desserts, Beverages",4.3,731.0,4.3,29200.0,Mandvi,"Navrang Cinema Road, Near Tower Four Ways, Raopura, Mandvi, Vadodara",300,2020-10-15 11:00:00,2020-10-15 15:30:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
Yo Frankie,Fast Food,4.5,963.0,4.3,55400.0,Alkapuri,"Bombay Shopping Centre, RC Dutt Rd, Race Course, Vadiwadi, Vadodara, Gujarat",250,2020-10-15 09:00:00,2020-10-15 00:00:00,,,Mon-Sun)
Old School Eatery,"North Indian, Chinese, Street Food, Sandwich, South Indian, Desserts, Beverages",4.9,783.0,4.4,4809.0,Alkapuri,"17/B, Nutan Bharat Society, Opposite Relience Fresh, Alkapuri, Vadodara",900,2020-10-15 12:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
Tasty Vadapav,Street Food,4.6,993.0,4.4,33300.0,Nizampura,"1st Floor, Braj Complex, Nizampura Main Road, Opposite Ghelani Petrol Pump, Nizampura, Vadodara",150,2020-10-15 10:00:00,2020-10-15 21:00:00,,,Mon-Sun)
Ustaad Miyaan,North Indian,4.4,750.0,4.0,4855.0,Alkapuri,"13 Alkapuri shopping center, opposite vishwas colony, Alkapuri, vadodara, Alkapuri, Vadodara",600,2020-10-15 10:00:00,2020-10-15 02:00:00,,,Mon-Sun)
Munchane,"Pizza, Fast Food",,,3.9,27400.0,Alkapuri,"50, First Floor, Sampatrao Colony, Alkapuri, Vadodara",400,2020-10-15 00:00:00,,,,Mon-Sun)
Amritsari Kulcha,Street Food,4.6,846.0,4.3,9133.0,Nizampura,"02, Devdeep Complex, Near ICICI Bank, Nizampura Main Road, Nizampura, Vadodara",200,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 22:00:00,Mon-Sun)
22nd Parallel,South Indian,4.9,1080.0,4.2,13400.0,Alkapuri,"1st Floor, Tapan Complex, Besides M Cube Mall, Alkapuri, Vadodara",400,2020-10-15 08:00:00,2020-10-15 22:00:00,,,Mon-Sun)
Hariyali Restaurant,North Indian,4.4,818.0,4.3,17400.0,Kendranagar,"Vrundavan Heights, Near Parivar Char Rasta, Waghodia, Kendranagar, Vadodara",400,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 18:00:00,2020-10-15 23:00:00,Mon-Sun)
La Pino'z Pizza,"Pizza, Italian, Fast Food, Desserts, Beverages",4.5,738.0,4.2,6408.0,Vadiwadi,"Shop 1-4, Arundeep Complex, Opposite Adarsh Hospital, Near Chakli Circle, Race Course Road, Vadiwadi, Vadodara",800,2020-10-15 11:00:00,2020-10-15 22:30:00,,,Mon-Sun)
Jagdish Foods Pvt. Ltd.,"Fast Food, Mithai",4.4,617.0,4.4,29700.0,Vadiwadi,"Sakar Complex, Malhar Point, Haribhakti Extension, Old Padra Road, Vadodara",200,2020-10-15 08:30:00,2020-10-15 21:30:00,,,Mon-Sun)
Domino's Pizza,"Pizza, Fast Food",4.2,845.0,4.3,8425.0,Kendranagar,"B-33, Ground Floor & 1st Floor, Uma Colony, Housing Society Limited, Waghodia Road, Kendranagar, Vadodara",400,2020-10-15 10:57:00,2020-10-15 23:00:00,,,Mon-Sun)
Meraki,"North Indian, Continental, Italian, Asian, Beverages, Desserts",4.4,1072.0,3.7,6697.0,Alkapuri,"F-39, 1st Floor, India Bull Mega Mall, Near Jetalpur Flyover Bridge, Alkapuri, Vadodara",700,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Lazzate Nayab,"North Indian, Mughlai, Biryani",4.1,381.0,3.9,13900.0,Akota,"Shop 29-32, Saptgiri Complex, Opposite Taj Residency, Padra Road, Akota, Vadodara",500,2020-10-15 11:00:00,2020-10-15 15:30:00,2020-10-15 17:30:00,2020-10-15 00:00:00,Mon-Sun)
Swad,"North Indian, Chinese",4.1,505.0,3.7,31400.0,Karelibaug,"G-3, Status Complex, Opposite Amrapali Complex, Karelibaug, Vadodara",250,2020-10-15 09:00:00,2020-10-15 16:00:00,,,Mon-Sun)
The Secret Kitchen,Modern Indian,4.3,738.0,4.6,271.0,Alkapuri,"201-203, The Emerald, Near Chakli Circle, Race Course, Alkapuri, Vadodara",1000,2020-10-15 12:30:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 22:00:00,Mon-Sun)
Ajay Hotel,North Indian,4.3,691.0,4.1,23000.0,Makarpura,"Near ONGC, Makarpura, Vadodara",500,2020-10-15 11:30:00,2020-10-15 23:30:00,,,Mon-Sun)
21- A Rooftop Restaurant,"North Indian, Mughlai, Chinese",3.9,491.0,3.8,8732.0,Alkapuri,"Shagun Hotel, Opposite Circuit House, R.C Dutt Road, Alkapuri, Vadodara",800,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 18:00:00,2020-10-15 23:00:00,Mon-Sun)
