Restaurant,Cousines,Rating,Rating_counts,Delivery_rating,Delivery_rating_counts,Area,Adress,Price_for_2,Open_time
Jassi De Parathe,North Indian,4.7,"(1,634)",4.2,(18.5K),Alkapuri,"R.C Dutt Road, Near Kalaniketan, Alkapuri, Vadodara",₹600,11am – 11:30pm (Mon-Sun)
Marwari Food Corner,"North Indian, Rajasthani, Fast Food, Chinese",4.3,"(1,505)",3.8,(29.2K),Karelibaug,"Shop No. 21 & 22 Ratri-bazaar, Mangal Pandey Rd, Karelibaugh, Karelibagh, Vadodara, Gujarat 390002",₹250,4pm – 2am (Mon-Sun)
KFC,"Burger, Fast Food, Finger Food, Beverages",4.2,"(1,003)",4.3,(16.8K),"Vadodara Central, Alkapuri","19, Ground Floor, Vadodara Central Mall, Near Genda Circle, Wadi Road, Alkapuri, Vadodara",₹450,1pm – 9:30pm (Mon-Sun)
Shree Kathiyawadi Khadki,"Gujarati, Desserts, Beverages",4.3,(731),4.3,(29.2K),Mandvi,"Navrang Cinema Road, Near Tower Four Ways, Raopura, Mandvi, Vadodara",₹300,"11am – 3:30pm, 7pm – 11pm (Mon-Sun)"
Yo Frankie,Fast Food,4.5,(963),4.3,(55.4K),Alkapuri,"Bombay Shopping Centre, RC Dutt Rd, Race Course, Vadiwadi, Vadodara, Gujarat",₹250,9am – 12midnight (Mon-Sun)
Old School Eatery,"North Indian, Chinese, Street Food, Sandwich, South Indian, Desserts, Beverages",4.9,(783),4.4,"(4,809)",Alkapuri,"17/B, Nutan Bharat Society, Opposite Relience Fresh, Alkapuri, Vadodara",₹900,"12noon – 3pm, 7pm – 11pm (Mon-Sun)"
Tasty Vadapav,Street Food,4.6,(993),4.4,(33.3K),Nizampura,"1st Floor, Braj Complex, Nizampura Main Road, Opposite Ghelani Petrol Pump, Nizampura, Vadodara",₹150,10am – 9pm (Mon-Sun)
Ustaad Miyaan,North Indian,4.4,(750),4.0,"(4,855)",Alkapuri,"13 Alkapuri shopping center, opposite vishwas colony, Alkapuri, vadodara, Alkapuri, Vadodara",₹600,10am – 2am (Mon-Sun)
Munchane,"Pizza, Fast Food",,,3.9,(27.4K Reviews),Alkapuri,"50, First Floor, Sampatrao Colony, Alkapuri, Vadodara",₹400,24 Hours (Mon-Sun)
Amritsari Kulcha,Street Food,4.6,(846),4.3,"(9,133)",Nizampura,"02, Devdeep Complex, Near ICICI Bank, Nizampura Main Road, Nizampura, Vadodara",₹200,"11am – 3pm, 7pm – 10pm (Mon-Sun)"
22nd Parallel,South Indian,4.9,"(1,080)",4.2,(13.4K),Alkapuri,"1st Floor, Tapan Complex, Besides M Cube Mall, Alkapuri, Vadodara",₹400,8am – 10pm (Mon-Sun)
Hariyali Restaurant,North Indian,4.4,(818),4.3,(17.4K),Kendranagar,"Vrundavan Heights, Near Parivar Char Rasta, Waghodia, Kendranagar, Vadodara",₹400,"11am – 3pm, 6pm – 11pm (Mon-Sun)"
La Pino'z Pizza,"Pizza, Italian, Fast Food, Desserts, Beverages",4.5,(738),4.2,"(6,408)",Vadiwadi,"Shop 1-4, Arundeep Complex, Opposite Adarsh Hospital, Near Chakli Circle, Race Course Road, Vadiwadi, Vadodara",₹800,11am – 10:30pm (Mon-Sun)
Jagdish Foods Pvt. Ltd.,"Fast Food, Mithai",4.4,(617),4.4,(29.7K),Vadiwadi,"Sakar Complex, Malhar Point, Haribhakti Extension, Old Padra Road, Vadodara",₹200,8:30am – 9:30pm (Mon-Sun)
Domino's Pizza,"Pizza, Fast Food",4.2,(845),4.3,"(8,425)",Kendranagar,"B-33, Ground Floor & 1st Floor, Uma Colony, Housing Society Limited, Waghodia Road, Kendranagar, Vadodara",₹400,10:57am – 11pm (Mon-Sun)
Meraki,"North Indian, Continental, Italian, Asian, Beverages, Desserts",4.4,"(1,072)",3.7,"(6,697)",Alkapuri,"F-39, 1st Floor, India Bull Mega Mall, Near Jetalpur Flyover Bridge, Alkapuri, Vadodara",₹700,11am – 11pm (Mon-Sun)
Lazzate Nayab,"North Indian, Mughlai, Biryani",4.1,(381),3.9,(13.9K),Akota,"Shop 29-32, Saptgiri Complex, Opposite Taj Residency, Padra Road, Akota, Vadodara",₹500,"11am – 3:30pm, 5:30pm – 12midnight (Mon-Sun)"
Swad,"North Indian, Chinese",4.1,(505),3.7,(31.4K),Karelibaug,"G-3, Status Complex, Opposite Amrapali Complex, Karelibaug, Vadodara",₹250,9am – 4pm (Mon-Sun)
The Secret Kitchen,Modern Indian,4.3,(738),4.6,(271),Alkapuri,"201-203, The Emerald, Near Chakli Circle, Race Course, Alkapuri, Vadodara","₹1,000","12:30pm – 3pm, 7pm – 10pm (Mon-Sun)"
Ajay Hotel,North Indian,4.3,(691),4.1,(23K),Makarpura,"Near ONGC, Makarpura, Vadodara",₹500,11:30am – 11:30pm (Mon-Sun)
21- A Rooftop Restaurant,"North Indian, Mughlai, Chinese",3.9,(491),3.8,"(8,732)",Alkapuri,"Shagun Hotel, Opposite Circuit House, R.C Dutt Road, Alkapuri, Vadodara",₹800,"11am – 3pm, 6pm – 11pm (Mon-Sun)"
Pizza Da Dhaba,"Pizza, Fast Food",4.1,(574),4.2,(29K),Kendranagar,"Ground Floor, Kamal Plaza, Near Jasminee Mobile, Vrundavan, Waghodiya Road, Kendranagar, Vadodara",₹400,8am – 11pm (Mon-Sun)
Jay Mahakali Sev Usal,Fast Food,4.5,(764),4.3,"(8,843)",Mandvi,"14 & 15, Prathmesh Plazza, Behind Nehru Bhavan, Near Kirti Stambh, Rajmahal Road, Mandvi, Vadodara",₹150,8:30am – 9pm (Mon-Sun)
Pizza Hut,"Pizza, Fast Food, Finger Food, American",4.0,(755),3.8,"(7,520)",Vadiwadi,"51,Akashganga Complex,Race Course Road, Vadiwadi, Vadodara",₹600,11am – 11pm (Mon-Sun)
Bombay Sandwich,Sandwich,4.5,(517),4.3,(27.5K),Alkapuri,"B-4 Kamla Park, Opposite Dena Bank, Behind National Plaza, RC Dutt Road, Alkapuri, Vadodara",₹350,11am – 11pm (Mon-Sun)
Wok On Fire,"Chinese, Asian, Street Food",4.1,(687),4.2,"(5,219)",Diwalipura,"1, Olive Complex, Old Padra Road, Opposite ABS Tower, Diwalipura, Vadodara",₹500,12noon – 11:45pm (Mon-Sun)
Kansaar Gujarati Thali,Gujarati,4.2,(450),3.6,"(9,669)",Sayajigunj,"101, Unique Trade Centre, Sayajigunj, Vadodara",₹500,"11am – 3:15pm, 7pm – 10:15pm (Mon-Sun)"
Foodies - The Food Court,"Chinese, Sandwich, North Indian, Italian, Beverages",3.9,(290),3.8,(14.6K),Karelibaug,"VIP Complex, Urjita Hospital, VIP Road, Karelibaug, Vadodara",₹350,11am – 11pm (Mon-Sun)
Vibes - The Bistro,"Mexican, Italian, Continental, Thai, Chinese",4.5,(530),4.1,"(2,057)",Diwalipura,"GF 101, Aries Pavillion, Shobhnanagar Society, Vasna Road, Diwalipura, Vadodara",₹800,9am – 12midnight (Mon-Sun)
Canara Coffee House,South Indian,4.4,(593),3.8,(13.8K),Mandvi,"Beside Premanand Hall, Opposite Lakdi Pool, Dandia Bazar, Mandvi, Vadodara",₹150,7am – 10pm (Mon-Sun)
Flavor Restaurant,"Gujarati, North Indian",4.2,(507),4.0,(15.9K),Alkapuri,"B1, Mangaldhara Complex, 83/Sampatrao Colony, Opposite Milton South Corner, Alkapuri, Vadodara",₹250,"11am – 4pm, 7pm – 10pm (Mon-Sat),Closed (Sun)"
Retro Bistro,"North Indian, Lebanese, Moroccan, Italian, Chinese, Continental, Mexican",4.5,(626),3.9,"(1,632)",Vadiwadi,"The Emerald Building, Chakli Circle, Near BSNL Office, Vadiwadi, Vadodara",₹950,11:30am – 10:30pm (Mon-Sun)
Eggxotica,"North Indian, Chinese, Fast Food, Beverages",3.8,(402),3.9,(17.4K),Diwalipura,"Shagun Residency, Opposite Avishkar Complex, OP Road, Diwalipura, Vadodara",₹800,"8am – 3pm, 6pm – 11pm (Mon-Sun)"
Spicenation,"North Indian, Chinese, Continental",4.1,(516),4.2,(17.6K),Makarpura,"Opposite Bhavans School, Makarpura Road, Makarpura, Vadodara",₹800,"11am – 3pm, 6:30pm – 10:30pm (Mon-Sun)"
That Place,"Italian, Mexican, Continental",4.4,(553),3.8,(951),Alkapuri,"33, Sampatrao Colony, Alkapuri, Vadodara","₹1,500",11am – 10pm (Mon-Sun)
After Hours,"North Indian, Chinese, Biryani, Desserts, Beverages",,,3.5,(10.7K Reviews),Karelibaug,Delivery Only,₹350,10am – 4am (Mon-Sun)
Thyme & Whisk,"Italian, Lebanese, Healthy Food, Mongolian",4.3,(474),3.8,"(2,249)",Vadiwadi,"Shop 3, Ground Floor, Emerald Building, Chakli Circle, Race Course Road, Vadiwadi, Vadodara","₹1,400","11am – 11:30pm (Mon-Fri),11am – 12midnight..."
Pizza On The Rock,"Pizza, Italian",4.5,(602),4.1,"(3,976)",Diwalipura,"Maryland Complex, Opposite Gauri Sarees, Old Padra Road, Vadodara",₹500,11am – 11:30pm (Mon-Sun)
Sasumaa Gujarati Thali,Gujarati,4.4,(590),3.8,"(2,768)",Alkapuri,"1/2, Ground Floor, Gokulesh Complex, Near Ivory Terrace, Alkapuri, Vadodara",₹500,"11:30am – 3:30pm, 7pm – 10:30pm (Mon-Sun)"
Santushti Shakes & More,"Beverages, Ice Cream",4.5,(777),4.4,(24.2K),Fatehgunj,"4, Ashok Apartments, Fatehgunj Main Road, Opposite Sadar Bazar, Fatehgunj, Vadodara",₹300,10am – 10pm (Mon-Sun)
Hungry Birds,"Biryani, Chinese, North Indian",4.0,(484),4.0,(13.4K),Karelibaug,"41/42, SB-11, Ground Floor, Amarpali Complex, Karelibaug, Vadodara",₹550,10am – 10pm (Mon-Sun)
Day Night Vada Pav & Dabeli,Fast Food,4.4,"(1,193)",4.3,(26.1K),Kendranagar,Shop no.9 syam rasicum plazza near SBI Bank . parivar char rasta wagodiya road.vadodra.,₹200,9am – 10pm (Mon-Sun)
Amaya - Fern Residency Vadodara,"Fast Food, Bakery, North Indian",4.4,(432),3.6,"(5,255)",Sayajigunj,"Near Central Bus Depot, Station Road, Sayajigunj, Vadodara",₹500,8am – 11pm (Mon-Sun)
Frigtemp,Fast Food,4.4,(484),4.2,"(9,586)",Fatehgunj,"Dak Bungalow, Fatehgunj Main Road, Fatehgunj, Vadodara",₹300,9:15am – 11pm (Mon-Sun)
Saladific,"Healthy Food, Salad",4.2,(587),4.1,(11.5K),Alkapuri,"The Emerald, Near Chakli Circle, Alkapuri, Vadodara",₹550,9am – 1am (Mon-Sun)
Raat Na Chataka,"North Indian, Biryani, Fast Food, Chinese, Pizza, Desserts, Beverages",3.8,(338),3.4,(11.1K),Karelibaug,"65, Buddhdev Colony, Near M.I.G Falt, Karelibaug, Vadodara",₹300,8am – 8pm (Mon-Sun)
Jashn-E-Paratha,"North Indian, Chinese",4.5,(393),4.3,"(7,049)",Diwalipura,"8, Lions Hall Road, Haribhakti Extension, Krishna Society, Diwalipura, Vadodara",₹350,"10am – 4pm, 6pm – 12midnight (Mon-Sun)"
Cafe Fitoor,"Cafe, North Indian, Italian",4.8,(441),4.2,"(1,210)",Vadiwadi,"SB 1-3, Landmark Complex, Race Course Road, Vadiwadi, Vadodara","₹1,000","Closed (Mon),12noon – 3pm, 7pm – 10:30pm (Tue-Sun)"
Gayatri Bhavan,"Gujarati, North Indian",3.1,(274),3.9,(14.4K),Sayajigunj,"Near Central Bus Station, Station Road, Sayajigunj, Vadodara",₹300,8am – 11pm (Mon-Sun)
Biryaniwala,"North Indian, Biryani",4.3,(470),4.1,(18.7K),Manjalpur,"10, Susen Tarsali Ring Road, Vihad Nagar, GIDC Industrial Area, Manjalpur, Vadodara",₹400,10am – 12:30am (Mon-Sun)
